"","marital_status","application_mode","course","attendance_mode","previous_qualification","nationality","mother_qualification","father_qualification","mother_occupation","father_occupation","displaced","educational_special_needs","debtor","gender","scholarship_holder","age_at_enrollment","international","outcome","dropout"
"138",1,8,13,1,1,1,22,27,4,11,0,0,0,0,0,20,0,"Graduate",0
"139",1,8,12,1,1,1,2,28,5,6,1,0,0,0,0,19,0,"Graduate",0
"140",1,13,3,0,1,1,13,2,5,7,0,0,0,0,0,26,0,"Graduate",0
"141",1,8,11,1,1,1,22,27,10,9,1,0,1,0,0,20,0,"Dropout",1
"142",1,12,16,1,1,1,22,14,10,6,0,0,0,0,0,27,0,"Graduate",0
"143",1,1,12,1,1,1,19,24,12,12,1,0,0,0,0,20,0,"Dropout",1
"144",1,1,16,1,1,1,22,14,10,6,1,0,0,0,0,18,0,"Dropout",1
"145",1,4,12,1,3,1,1,1,10,6,0,0,0,0,0,33,0,"Dropout",1
"146",1,14,16,1,1,1,3,1,4,4,1,0,0,0,0,35,0,"Graduate",0
"147",1,12,15,1,12,1,13,14,4,5,0,0,1,0,0,27,0,"Dropout",1
"148",1,9,5,1,1,1,1,27,6,6,1,0,0,0,0,19,0,"Dropout",1
"149",1,8,11,1,1,1,1,14,5,7,0,0,0,0,0,20,0,"Dropout",1
"150",1,9,9,1,1,1,3,3,6,8,1,0,1,0,0,20,0,"Dropout",1
"151",1,8,12,1,1,1,23,1,10,5,1,0,0,0,1,18,0,"Graduate",0
"152",1,12,6,1,1,1,1,14,10,10,1,0,0,0,0,24,0,"Dropout",1
"153",1,8,5,1,1,1,1,3,5,2,1,0,0,0,0,20,0,"Graduate",0
"154",1,1,11,1,1,1,13,28,10,9,0,0,0,0,1,21,0,"Graduate",0
"155",1,12,9,1,1,1,10,3,5,4,1,0,0,0,0,24,0,"Dropout",1
"156",1,16,16,1,1,1,1,1,5,11,0,0,0,0,0,21,0,"Dropout",1
"157",1,1,12,1,1,1,23,28,10,9,1,0,0,0,0,18,0,"Graduate",0
"158",1,12,17,0,15,1,13,1,4,5,1,0,0,0,0,27,0,"Dropout",1
"159",1,9,12,1,1,1,22,27,6,6,1,0,0,0,0,18,0,"Graduate",0
"160",1,4,7,1,3,1,3,2,3,3,0,0,0,0,0,35,0,"Dropout",1
"161",1,1,16,1,1,1,13,14,4,9,0,0,0,0,0,18,0,"Graduate",0
"162",1,1,6,1,1,1,1,1,5,8,1,0,0,0,0,19,0,"Graduate",0
"163",1,1,10,1,1,1,13,14,5,1,1,0,0,0,0,20,0,"Graduate",0
"164",1,1,12,1,1,1,13,14,8,8,1,0,0,0,0,18,0,"Graduate",0
"165",1,15,10,1,14,1,23,28,6,11,0,0,1,0,0,21,0,"Graduate",0
"166",1,8,10,1,1,1,13,27,10,9,0,0,0,0,1,18,0,"Graduate",0
"167",1,1,10,1,1,1,19,24,1,1,1,0,0,0,0,18,0,"Graduate",0
"168",1,1,12,1,1,1,13,28,10,10,1,0,0,0,0,18,0,"Graduate",0
"169",1,1,15,1,1,1,3,14,2,5,1,0,0,0,1,18,0,"Graduate",0
"170",1,1,6,1,1,1,13,1,9,8,1,0,0,0,0,19,0,"Graduate",0
"171",1,12,11,1,12,1,3,14,3,4,0,0,0,0,1,36,0,"Dropout",1
"172",1,1,12,1,1,1,23,1,8,5,1,0,0,0,1,18,0,"Graduate",0
"173",1,1,12,1,1,1,22,27,10,10,0,0,0,0,1,18,0,"Graduate",0
"174",1,14,8,1,1,1,1,3,10,3,1,0,0,0,1,20,0,"Graduate",0
"175",1,12,17,0,1,1,22,27,10,10,0,0,0,0,1,26,0,"Dropout",1
"176",1,14,15,1,1,1,1,1,5,6,0,0,0,0,0,21,0,"Graduate",0
"177",1,9,9,1,1,1,13,3,6,6,1,0,0,0,1,19,0,"Graduate",0
"178",1,12,3,0,1,1,13,27,9,8,1,0,0,0,0,24,0,"Dropout",1
"179",1,12,3,0,1,1,1,14,6,5,0,0,0,0,1,27,0,"Dropout",1
"180",1,8,6,1,1,1,13,27,2,4,0,0,0,0,0,21,0,"Dropout",1
"181",1,1,9,1,1,1,23,28,8,8,0,0,0,0,1,18,0,"Graduate",0
"182",2,1,16,1,1,1,22,27,6,8,0,1,0,0,1,19,0,"Graduate",0
"183",1,1,11,1,1,1,1,1,4,4,1,0,0,0,0,18,0,"Dropout",1
"184",1,16,12,1,1,1,13,1,6,10,0,0,0,0,1,19,0,"Graduate",0
"185",1,9,12,1,1,1,1,28,5,6,1,0,0,0,1,19,0,"Graduate",0
"186",2,4,17,0,17,1,25,5,4,4,0,0,0,0,0,33,0,"Graduate",0
"187",2,4,9,1,3,1,1,4,4,11,0,0,0,0,0,45,0,"Graduate",0
"188",1,1,10,1,1,1,1,1,10,10,0,0,0,0,1,20,0,"Graduate",0
"189",1,12,14,1,1,1,19,24,1,1,1,0,0,0,0,28,0,"Dropout",1
"190",1,14,12,1,1,1,1,1,6,9,1,0,0,0,1,19,0,"Graduate",0
"191",1,1,11,1,1,1,1,27,5,6,1,0,0,0,0,18,0,"Graduate",0
"192",1,12,11,1,3,1,13,14,5,7,0,0,0,0,0,38,0,"Dropout",1
"193",1,1,14,1,1,1,1,3,5,4,0,0,0,0,0,19,0,"Graduate",0
"194",1,1,11,1,1,1,1,27,10,10,0,0,0,0,1,21,0,"Graduate",0
"195",1,1,9,1,1,1,22,1,10,11,0,0,0,0,0,21,0,"Dropout",1
"196",1,1,10,1,1,1,23,27,10,10,0,0,0,0,1,22,0,"Graduate",0
"197",1,1,16,1,1,1,13,14,6,8,0,0,0,0,1,18,0,"Graduate",0
"198",1,8,10,1,1,1,22,27,4,10,0,1,0,0,1,18,0,"Graduate",0
"199",1,1,8,1,1,1,13,1,10,10,1,0,0,0,0,25,0,"Dropout",1
"200",1,12,6,1,12,1,13,14,10,8,0,0,1,0,0,24,0,"Dropout",1
"201",1,1,9,1,1,1,22,14,6,6,1,0,0,0,1,20,0,"Graduate",0
"202",1,12,9,1,1,1,22,1,10,2,0,0,0,0,0,25,0,"Dropout",1
"203",1,1,9,1,1,1,23,14,10,11,0,0,0,0,1,20,0,"Graduate",0
"204",1,4,12,1,3,1,13,28,6,4,0,0,0,0,0,23,0,"Graduate",0
"205",1,8,12,1,1,1,13,27,8,7,1,0,0,0,1,19,0,"Graduate",0
"206",1,15,4,1,14,1,22,27,10,11,0,0,1,0,0,29,0,"Dropout",1
"207",1,1,11,1,1,1,13,27,5,8,1,0,0,0,0,21,0,"Graduate",0
"208",1,1,14,1,1,1,13,1,10,9,1,0,0,0,1,18,0,"Graduate",0
"209",1,1,15,1,1,1,23,27,8,8,1,0,0,0,1,18,0,"Dropout",1
"210",1,1,6,1,1,1,7,14,12,7,0,0,0,0,0,19,0,"Graduate",0
"211",1,8,9,1,1,1,1,1,5,5,0,0,0,0,0,18,0,"Graduate",0
"212",2,12,13,1,12,1,23,27,8,8,1,0,1,0,1,37,0,"Dropout",1
"213",1,8,17,0,15,1,22,27,7,7,0,0,0,0,0,29,0,"Graduate",0
"214",1,1,10,1,1,1,1,1,10,9,1,0,0,0,1,19,0,"Graduate",0
"215",1,14,10,1,1,1,1,1,4,2,1,0,1,0,0,22,0,"Dropout",1
"216",1,1,11,1,1,1,22,28,10,8,0,0,0,0,1,20,0,"Graduate",0
"217",1,12,3,0,1,1,22,27,13,13,0,0,0,0,0,34,0,"Dropout",1
"218",1,14,7,1,1,1,22,28,10,10,0,0,1,0,0,30,0,"Dropout",1
"219",1,1,10,1,1,1,1,1,5,5,0,0,0,0,0,18,0,"Graduate",0
"220",1,1,10,1,1,1,23,14,10,6,0,0,0,0,0,18,0,"Graduate",0
"221",1,1,15,1,1,1,3,1,2,4,1,0,0,0,0,18,0,"Graduate",0
"222",1,8,12,1,1,1,4,1,3,4,1,0,0,0,0,18,0,"Graduate",0
"223",1,1,15,1,1,1,23,28,10,10,1,0,0,0,1,19,0,"Graduate",0
"224",1,1,5,1,1,1,22,27,10,10,1,0,0,0,1,19,0,"Graduate",0
"225",1,1,12,1,1,1,1,1,10,10,0,0,0,0,1,18,0,"Graduate",0
"226",1,15,4,1,14,1,22,28,5,9,0,0,0,0,1,21,0,"Graduate",0
"227",1,1,9,1,1,1,1,14,10,10,1,0,0,0,0,20,0,"Dropout",1
"228",1,8,9,1,1,1,10,14,5,9,1,0,0,0,0,20,0,"Graduate",0
"229",1,1,12,1,1,1,5,1,3,6,0,0,0,0,0,19,0,"Graduate",0
"230",1,1,10,1,1,1,1,28,5,6,0,0,0,0,0,20,0,"Graduate",0
"231",1,8,12,1,1,1,10,1,5,11,1,0,0,0,0,18,0,"Graduate",0
"232",1,13,16,1,1,1,22,28,4,4,0,0,0,0,0,20,0,"Dropout",1
"233",2,4,8,1,3,1,5,4,3,1,0,0,1,0,0,29,0,"Dropout",1
"234",1,1,12,1,1,1,13,14,6,6,1,0,0,0,1,20,0,"Graduate",0
"235",1,7,9,1,1,1,23,27,10,10,1,0,0,0,1,22,0,"Graduate",0
"236",4,1,3,0,1,1,24,14,5,11,1,0,0,0,1,47,0,"Graduate",0
"237",2,16,17,0,1,1,22,27,9,5,0,0,0,0,0,31,0,"Graduate",0
"238",1,1,5,1,1,1,13,27,8,6,0,0,0,0,1,21,0,"Graduate",0
"239",1,1,3,0,1,1,23,28,1,1,0,0,0,0,0,21,0,"Graduate",0
"240",2,12,15,1,9,1,1,1,5,5,0,0,0,0,0,24,0,"Graduate",0
"241",1,12,3,0,11,1,19,1,12,3,0,0,0,0,0,32,0,"Graduate",0
"242",1,9,3,0,1,1,3,1,4,5,1,0,0,0,1,19,0,"Graduate",0
"243",1,12,12,1,1,1,3,3,2,2,1,0,0,0,0,24,0,"Graduate",0
"244",1,8,6,1,1,1,13,14,5,11,1,0,0,0,0,19,0,"Graduate",0
"245",1,15,4,1,14,1,13,27,7,7,0,0,1,0,1,19,0,"Graduate",0
"246",1,8,10,1,1,1,13,14,29,29,1,0,0,0,1,18,0,"Graduate",0
"247",1,1,5,1,1,1,23,27,4,7,1,0,0,0,1,19,0,"Dropout",1
"248",2,1,12,1,1,1,3,28,3,5,0,0,0,0,1,19,0,"Graduate",0
"249",1,8,15,1,1,1,13,28,10,9,1,0,0,0,1,18,0,"Graduate",0
"250",1,1,10,1,1,1,1,1,4,4,1,0,0,0,0,18,0,"Graduate",0
"251",1,8,13,1,1,1,1,1,5,11,1,0,0,0,0,20,0,"Graduate",0
"252",1,1,12,1,1,1,13,28,6,8,0,0,0,0,0,18,0,"Graduate",0
"253",1,8,14,1,1,1,23,28,10,8,1,0,0,0,0,18,0,"Graduate",0
"254",1,1,6,1,1,1,23,27,10,10,1,0,0,0,1,21,0,"Graduate",0
"255",1,1,12,1,1,1,13,14,5,10,0,0,0,0,1,18,0,"Graduate",0
"256",1,16,14,1,1,1,13,14,6,6,0,0,1,0,0,18,0,"Dropout",1
"257",1,8,10,1,1,1,1,9,5,4,1,0,0,0,0,19,0,"Dropout",1
"258",1,8,14,1,1,1,1,14,6,6,1,0,0,0,0,18,0,"Graduate",0
"259",1,12,8,1,3,1,3,1,12,12,1,0,0,0,0,34,0,"Dropout",1
"260",1,1,6,1,1,1,9,9,12,12,0,0,0,0,0,19,0,"Graduate",0
"261",1,15,8,1,14,1,22,27,8,9,1,0,1,0,0,19,0,"Dropout",1
"262",1,16,10,1,1,1,3,14,3,2,0,0,1,0,0,26,0,"Graduate",0
"263",1,8,16,1,1,1,19,24,1,1,1,0,0,0,0,21,0,"Dropout",1
"264",1,8,9,1,1,1,13,14,5,9,0,0,0,0,1,18,0,"Graduate",0
"265",1,8,16,1,1,1,23,28,6,8,1,0,0,0,1,20,0,"Graduate",0
"266",1,16,9,1,1,1,1,1,5,5,0,0,0,0,0,25,0,"Dropout",1
"267",1,1,9,1,1,1,1,28,5,4,0,0,0,0,0,18,0,"Graduate",0
"268",1,1,12,1,1,1,13,14,4,7,1,0,0,0,1,18,0,"Graduate",0
"269",1,1,12,1,1,1,26,14,4,6,0,0,0,0,0,19,0,"Graduate",0
"270",1,1,10,1,1,1,13,28,6,10,0,0,0,0,1,18,0,"Graduate",0
"271",1,4,6,1,15,1,13,14,10,6,0,0,1,0,0,26,0,"Dropout",1
"272",1,13,12,1,1,1,22,27,8,10,1,0,0,0,1,19,0,"Graduate",0
"273",1,1,12,1,1,1,1,1,6,2,0,0,0,0,0,19,0,"Graduate",0
"274",1,14,9,1,1,1,22,27,10,10,0,0,0,0,0,19,0,"Graduate",0
"275",1,1,11,1,1,1,13,14,6,9,1,0,0,0,0,18,0,"Graduate",0
"276",1,14,12,1,6,1,1,27,10,10,1,0,0,0,0,19,0,"Graduate",0
"277",1,1,10,1,1,1,1,1,10,7,0,0,1,0,0,18,0,"Graduate",0
"278",1,15,7,1,14,1,13,27,5,8,0,0,1,0,0,26,0,"Dropout",1
"279",1,1,10,1,1,1,23,28,8,8,1,0,0,0,0,20,0,"Graduate",0
"280",1,1,3,0,1,1,22,28,10,11,0,0,0,0,0,19,0,"Graduate",0
"281",1,1,10,1,1,1,19,27,5,10,1,0,0,0,1,18,0,"Graduate",0
"282",1,15,10,1,14,1,23,27,8,8,0,0,0,0,0,19,0,"Graduate",0
"283",1,4,16,1,15,1,26,3,3,2,0,0,1,0,0,40,0,"Graduate",0
"284",1,1,12,1,1,1,23,28,8,8,1,0,0,0,1,18,0,"Graduate",0
"285",1,8,10,1,1,1,3,1,10,11,0,0,0,0,0,19,0,"Graduate",0
"286",1,8,8,1,1,1,2,7,4,6,0,0,0,0,0,18,0,"Graduate",0
"287",1,1,2,1,1,1,3,3,3,3,1,0,0,0,0,18,0,"Dropout",1
"288",2,12,3,0,1,1,22,27,10,10,1,0,0,0,0,33,0,"Graduate",0
"289",1,12,4,1,3,1,3,3,2,3,0,0,0,0,0,35,0,"Graduate",0
"290",1,1,15,1,1,1,13,14,8,6,1,0,0,0,0,18,0,"Graduate",0
"291",4,12,17,0,1,1,22,27,7,7,0,0,0,0,0,39,0,"Graduate",0
"292",2,12,10,1,1,1,22,27,10,10,0,0,0,0,0,44,0,"Graduate",0
"293",1,1,11,1,1,1,13,14,10,10,1,0,0,0,0,24,0,"Dropout",1
"294",1,14,15,1,1,1,13,14,10,9,0,0,0,0,1,20,0,"Graduate",0
"295",1,1,2,1,1,1,1,1,10,6,1,0,0,0,0,19,0,"Dropout",1
"296",2,1,12,1,1,1,22,28,10,8,0,0,1,0,1,18,0,"Graduate",0
"297",1,1,11,1,1,1,13,14,5,7,0,0,1,0,0,22,0,"Dropout",1
"298",1,8,6,1,1,1,13,1,5,6,1,0,0,0,0,18,0,"Graduate",0
"299",1,12,12,1,12,1,23,27,10,10,0,0,0,0,0,24,0,"Graduate",0
"300",1,12,17,0,1,1,22,27,12,9,0,0,0,0,0,33,0,"Dropout",1
"301",1,12,6,1,17,1,3,29,3,4,0,0,0,0,0,26,0,"Dropout",1
"302",1,8,16,1,1,1,13,28,5,2,1,0,0,0,0,18,0,"Graduate",0
"303",1,1,15,1,1,1,22,28,10,8,0,0,1,0,0,19,0,"Dropout",1
"304",1,17,6,1,16,1,13,27,10,9,1,0,0,0,1,22,0,"Graduate",0
"305",1,1,6,1,1,1,22,28,8,6,1,0,0,0,1,21,0,"Graduate",0
"306",1,1,12,1,1,1,13,28,5,9,1,0,0,0,1,21,0,"Graduate",0
